부품ID,랙타입,부품명,규격,단가,표시명,출처,비고,카테고리
중량랙-중량바퀴-,중량랙,중량바퀴,,18750,중량랙 중량바퀴,extra_options,,추가상품2 (중량 바퀴 추가)
파렛트랙-경사브레싱-1000,파렛트랙,경사브래싱,1000,1000,파렛트랙 경사브래싱,excel_generated,,
파렛트랙-기둥-1500,파렛트랙,기둥(1500),1500,0,파렛트랙 기둥(1500) 높이 1500,excel_generated,,
파렛트랙-기둥-2000,파렛트랙,기둥(2000),2000,0,파렛트랙 기둥(2000) 높이 2000,excel_generated,,
파렛트랙-기둥-2500,파렛트랙,기둥(2500),2500,0,파렛트랙 기둥(2500) 높이 2500,excel_generated,,
파렛트랙-기둥-3000,파렛트랙,기둥(3000),3000,0,파렛트랙 기둥(3000) 높이 3000,excel_generated,,
파렛트랙-기둥-3500,파렛트랙,기둥(3500),3500,0,파렛트랙 기둥(3500) 높이 3500,excel_generated,,
파렛트랙-기둥-4000,파렛트랙,기둥(4000),4000,0,파렛트랙 기둥(4000) 높이 4000,excel_generated,,
파렛트랙-기둥-h4500,파렛트랙,기둥(H4500),h4500,0,파렛트랙 기둥(H4500) 높이 H4500,excel_generated,,
파렛트랙-기둥-h5000,파렛트랙,기둥(H5000),h5000,0,파렛트랙 기둥(H5000) 높이 H5000,excel_generated,,
파렛트랙-기둥-h5500,파렛트랙,기둥(H5500),h5500,0,파렛트랙 기둥(H5500) 높이 H5500,excel_generated,,
파렛트랙-기둥-h6000,파렛트랙,기둥(H6000),h6000,0,파렛트랙 기둥(H6000) 높이 H6000,excel_generated,,
파렛트랙-기둥-1500_3t,파렛트랙,기둥(1500)_3t,1500_3t,0,파렛트랙 기둥(1500) 높이 1500_3t,excel_generated,,
파렛트랙-기둥-2000_3t,파렛트랙,기둥(2000)_3t,2000_3t,0,파렛트랙 기둥(2000) 높이 2000_3t,excel_generated,,
파렛트랙-기둥-2500_3t,파렛트랙,기둥(2500)_3t,2500_3t,0,파렛트랙 기둥(2500) 높이 2500_3t,excel_generated,,
파렛트랙-기둥-3000_3t,파렛트랙,기둥(3000)_3t,3000_3t,0,파렛트랙 기둥(3000) 높이 3000_3t,excel_generated,,
파렛트랙-기둥-3500_3t,파렛트랙,기둥(3500)_3t,3500_3t,0,파렛트랙 기둥(3500) 높이 3500_3t,excel_generated,,
파렛트랙-기둥-4000_3t,파렛트랙,기둥(4000)_3t,4000_3t,0,파렛트랙 기둥(4000) 높이 4000_3t,excel_generated,,
파렛트랙-기둥-h4500_3t,파렛트랙,기둥(H4500)_3t,h4500_3t,0,파렛트랙 기둥(H4500) 높이 H4500_3t,excel_generated,,
파렛트랙-기둥-h5000_3t,파렛트랙,기둥(H5000)_3t,h5000_3t,0,파렛트랙 기둥(H5000) 높이 H5000_3t,excel_generated,,
파렛트랙-기둥-h5500_3t,파렛트랙,기둥(H5500)_3t,h5500_3t,0,파렛트랙 기둥(H5500) 높이 H5500_3t,excel_generated,,
파렛트랙-기둥-h6000_3t,파렛트랙,기둥(H6000)_3t,h6000_3t,0,파렛트랙 기둥(H6000) 높이 H6000_3t,excel_generated,,
파렛트랙-돌그레이코팅판1000x2440-,파렛트랙,돌그레이코팅판 1000x2440,,35000,파렛트랙 돌그레이코팅판 1000x2440,extra_options,,추가상품6 (합판추가)
파렛트랙-로드빔-1390_3t,파렛트랙,로드빔_3t,1400,15000,파렛트랙 로드빔 1400_3t,excel_generated,,
파렛트랙-로드빔-2590_3t,파렛트랙,로드빔_3t,2500,15000,파렛트랙 로드빔 2500_3t,excel_generated,,
파렛트랙-로드빔-2790_3t,파렛트랙,로드빔_3t,2800,0,파렛트랙 로드빔 2800_3t,excel_generated,,
파렛트랙-로드빔-1390,파렛트랙,로드빔,1400,15000,파렛트랙 로드빔 1400,bom_data,,
파렛트랙-로드빔-2590,파렛트랙,로드빔,2500,15000,파렛트랙 로드빔 2500,bom_data,,
파렛트랙-로드빔-2790,파렛트랙,로드빔,2800,0,파렛트랙 로드빔 2800,bom_data,,
파렛트랙-브러싱고무-,파렛트랙,브러싱고무,브러싱고무,0,파렛트랙 브러싱고무,hardware_generated,,
파렛트랙-브레싱볼트-,파렛트랙,브레싱볼트,,150,파렛트랙 브레싱볼트,bom_data,,
파렛트랙-수평브레싱-1000,파렛트랙,수평브레싱,1000,1000,파렛트랙 수평브레싱,excel_generated,,
파렛트랙-안전핀-,파렛트랙,안전핀,,100,파렛트랙 안전핀,bom_data,,
파렛트랙-앙카볼트-,파렛트랙,앙카볼트,,500,파렛트랙 앙카볼트,bom_data,,
파렛트랙-월넛코팅판1000x2440-,파렛트랙,월넛코팅판 1000x2440,,35000,파렛트랙 월넛코팅판 1000x2440,extra_options,,추가상품6 (합판추가)
파렛트랙-일반합판1000x2440-,파렛트랙,일반합판 1000x2440,,30000,파렛트랙 일반합판 1000x2440,extra_options,,추가상품6 (합판추가)
파렛트랙-철판형로드빔-1390,파렛트랙,철판형로드빔,1390,0,파렛트랙 철판형로드빔 1390,extra_options,,
파렛트랙-철판형로드빔-2090,파렛트랙,철판형로드빔,2090,0,파렛트랙 철판형로드빔 2090,extra_options,,
파렛트랙-철판형로드빔-2590,파렛트랙,철판형로드빔,2590,0,파렛트랙 철판형로드빔 2590,extra_options,,
파렛트랙신형-철판형로드빔-1390,파렛트랙,철판형로드빔,1390,0,파렛트랙 철판형로드빔 1390,extra_options,,
파렛트랙신형-철판형로드빔-2090,파렛트랙,철판형로드빔,2090,0,파렛트랙 철판형로드빔 2090,extra_options,,
파렛트랙신형-철판형로드빔-2590,파렛트랙,철판형로드빔,2590,0,파렛트랙 철판형로드빔 2590,extra_options,,
파렛트랙-타이빔-1000_3t,파렛트랙,타이빔_3t,1000_3t,5000,파렛트랙 타이빔 1000(3t),excel_generated,,
파렛트랙-타이빔-1000,파렛트랙,타이빔,1000,5000,파렛트랙 타이빔 1000,bom_data,,
파렛트랙-타이빔1010-,파렛트랙,타이빔 1010,1000,7000,파렛트랙 타이빔 1010,extra_options,,추가상품4 (타이빔)
파렛트랙-화이트코팅판1000x2440-,파렛트랙,화이트코팅판 1000x2440,,35000,파렛트랙 화이트코팅판 1000x2440,extra_options,,추가상품5 (합판추가)
파렛트랙신형-경사브레싱-1000,파렛트랙,경사브래싱,1000,1000,파렛트랙 경사브래싱,excel_generated,,
파렛트랙신형-기둥-1500,파렛트랙,기둥(1500),1500,0,파렛트랙 기둥(1500) 높이 1500,excel_generated,,
파렛트랙신형-기둥-2000,파렛트랙,기둥(2000),2000,0,파렛트랙 기둥(2000) 높이 2000,excel_generated,,
파렛트랙신형-기둥-2500,파렛트랙,기둥(2500),2500,0,파렛트랙 기둥(2500) 높이 2500,excel_generated,,
파렛트랙신형-기둥-3000,파렛트랙,기둥(3000),3000,0,파렛트랙 기둥(3000) 높이 3000,excel_generated,,
파렛트랙신형-기둥-3500,파렛트랙,기둥(3500),3500,0,파렛트랙 기둥(3500) 높이 3500,excel_generated,,
파렛트랙신형-기둥-4000,파렛트랙,기둥(4000),4000,0,파렛트랙 기둥(4000) 높이 4000,excel_generated,,
파렛트랙신형-기둥-h4500,파렛트랙,기둥(H4500),h4500,0,파렛트랙 기둥(H4500) 높이 H4500,excel_generated,,
파렛트랙신형-기둥-h5000,파렛트랙,기둥(H5000),h5000,0,파렛트랙 기둥(H5000) 높이 H5000,excel_generated,,
파렛트랙신형-기둥-h5500,파렛트랙,기둥(H5500),h5500,0,파렛트랙 기둥(H5500) 높이 H5500,excel_generated,,
